"* Required Fields","* Required Fields"
"Contact Information","Contact Information"
Address,Address
City,City
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
O2TI,O2TI
"Advanced Street Address","Advanced Street Address"
"Implement Label and Validation to street fields","Implement Label and Validation to street fields"
Enabled,Enabled
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Apply template to Account","Apply template to Account"
"Form Edit Address/New Address","Form Edit Address/New Address"
"First line of the street","First line of the street"
"Rules for input street_0","Rules for input street_0"
Label,Label
"Use Label","Use Label"
Validation,Validation
"Is Required","Is Required"
"Max Length","Max Length"
"Valid range: 1-255","Valid range: 1-255"
"Second line of the street","Second line of the street"
"Rules for input street_1","Rules for input street_1"
"Input Is Number","Input Is Number"
"Third line of the street","Third line of the street"
"Rules for input street_2","Rules for input street_2"
"Fourth line of the street","Fourth line of the street"
"Rules for input street_3","Rules for input street_3"
"Complement","Complement"
"District","District"
