"E-Correios (Não oficial)","E-Correios (Não oficial)"
"Republica Virtual","Republica Virtual"
"Via Cep","Via Cep"
"Please select","Por favor selecione"
"1st line of the street","1ª linha do endereço"
"2st line of the street","2ª linha do endereço"
"3st line of the street","3ª linha do endereço"
"4st line of the street","4ª linha do endereço"
O2TI,O2TI
"Autocomplete Address for Brazil","Auto Completar Endereço"
"Fill in the address data from the entered zip code. Valid only for CEP in Brazil.","Preencha os dados do endereço do código postal inserido. Válido apenas para CEP no Brasil."
Enabled,Habilitado
"Number of Lines in a Street Address","Número de linhas do endereço"
"Valid range: 1-4","Válido de: 1-4"
"API return relationship","Relacionamento do retorno da API"
"Relate the return provided by the API to the magento fields","Relacione o retorno fornecido pela API aos campos da loja"
"The Street attribute is","O logradouro (rua, avenida...) é o campo"
"The address district is","O bairro é o campo"
"User Experience","Experiência do Usuário"
"Define the user experience for the fields affected by the module","Defina a experiência do usuário para os campos afetados pelo módulo"
"Compatibility with O2TI_InputMasking module","Compatibilidade com o módulo O2TI_InputMasking"
"Hide API Target Fields","Esconder campos alvos enquanto não há um CEP"
"Defines whether to hide the elements that will be filled after the Api returns.","Define se deve ocultar os elementos que serão preenchidos após o retorno do Api."
Developer,Desenvolvedor
"Choose the API for the data source","Escolha a API para origem do dado"
Api,API
