"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Login successful.","Login successful."
"There is already an account with this email address.","There is already an account with this email address."
"We can't save the customer.","We can't save the customer."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Thank you for registering with %1."
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Create a Password","Create a Password"
"For delivery questions.","For delivery questions."
"Password Strength: ","Password Strength: "
"Show Password","Show Password"
Email,Email
"Change Email","Change Email"
"Remember Me","Remember Me"
"What is this?","What is this?"
"Create Account","Create Account"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in."
"* Required Fields","* Required Fields"
"Email Address","Email Address"
Next,Next
Password,Password
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Hi, ","Hi, "
"You are logged in with the email:","You are logged in with the email:"
"Do you want to log out?","Do you want to log out?"
Identification,Identification
edit,edit
"Unable to leave. Please try again later","Unable to leave. Please try again later"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Minimum of different classes of characters in password. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"The Date of Birth should not be greater than today.","The Date of Birth should not be greater than today."
"No Password","No Password"
Weak,Weak
Medium,Medium
Strong,Strong
"Very Strong","Very Strong"
"Create account or continue as guest","Create account or continue as guest"
"Create account","Create account"
"You already have an account with us. Sign in or continue as guest","You already have an account with us. Sign in or continue as guest"
"You already have an account with us. Please sign in","You already have an account with us. Please sign in"
"We will keep your items and you can use another email to complete your purchase.","We will keep your items and you can use another email to complete your purchase."
"When exiting your account your cart will be deleted.","When exiting your account your cart will be deleted."
"Continue as guest","Continue as guest"
"Checkout as a guest using email","Checkout as a guest using email"
"You are logged in with the email","You are logged in with the email"
O2TI,O2TI
"Checkout Identification Step","Checkout Identification Step"
"Create additional step in unique for customer identification","Create additional step in unique for customer identification"
Enabled,Enabled
"Step Behavior","Step Behavior"
"Defined the behavior of the step","Defined the behavior of the step"
"Behavior for Guest","Behavior for Guest"
"Defines the behavior for anonymous purchases","Defines the behavior for anonymous purchases"
"Allow Contiune As Guest","Allow Contiune As Guest"
"Behavior for Customers","Behavior for Customers"
"Defines the behavior for user purchases that already exists in the customer base","Defines the behavior for user purchases that already exists in the customer base"
"After login allow Logout","After login allow Logout"
"Attention: If ""Persistent Shopping Cart"" is set to no and/or ""Clear Persistence on Sign Out"" is set to yes, the customer will receive an empty cart message.","Attention: If ""Persistent Shopping Cart"" is set to no and/or ""Clear Persistence on Sign Out"" is set to yes, the customer will receive an empty cart message."
"Associate orders placed as guests in the customer account","Associate orders placed as guests in the customer account"
"Behavior for New Customers","Behavior for New Customers"
"Defines the behavior of user purchases not present in the customer base","Defines the behavior of user purchases not present in the customer base"
"Create account in step","Create account in step"
"Capture address in registration","Capture address in registration"
"Enable for Checkout/Create Account","Enable for Checkout/Create Account"
