"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Login successful.","Login efetuado."
"There is already an account with this email address.","Já existe uma conta com este endereço de e-mail."
"We can't save the customer.",""Não é possível salvar o cliente."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Se você é um cliente CPF/CNPJ registrado, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto CPF/CNPJ."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Se você é um cliente registrado com CPF/CNPJ, por favor clique <a href=""%1"">aqui</a> para inserir seu endereço de cobrança para o cálculo adequado do imposto."
"Thank you for registering with %1.","Obrigado por registrar-se com %1."
"We'll send your order confirmation here.","Enviaremos a confirmação do seu pedido aqui."
Password,Senha
"Create a Password","Crie uma senha"
"For delivery questions.","Para questões de entrega."
"Password Strength: ","Força da senha "
"Show Password","Ver senha"
Email,Email
"Change Email","Alterar Email"
"Remember Me","Lembrar-me"
"What is this?","O que é isso?"
"Create Account","Criar conta"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Marque &quot;Lembre-me&quot; para acessar seu carrinho de compras nesse computador quando você estiver desconectado."
"* Required Fields","* Campos Obrigatórios"
"Email Address","Endereço de Email"
Next,Próximo
Login,Login
"Forgot Your Password?","Esqueceu sua senha?"
"Hi, ","Oi, "
"You are logged in with the email:","Você está conectado com o email:"
"Do you want to log out?","Deseja sair?"
Identification,Identificação
edit,editar
"Unable to leave. Please try again later","Incapaz de sair. Por favor, tente novamente mais tarde"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","O comprimento mínimo deste campo deve ser igual ou maior que %1 símbolos. Espaços à esquerda e à direita serão ignorados."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","O mínimo de diferentes classes de caracteres na senha é %1. Classes de caracteres: minúsculas, maiúsculas, dígitos, caracteres especiais."
"Minimum of different classes of characters in password. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Deve haver um mínimo de diferentes classes de caracteres na senha. Classes de caracteres: minúsculas, maiúsculas, dígitos, caracteres especiais."
"The Date of Birth should not be greater than today.","A data de nascimento não deve ser maior do que hoje."
"No Password","Sem senha"
Weak,Muito fraca
Medium,Na média
Strong,Forte
"Very Strong","Muito Forte"
"Create account or continue as guest","Crie sua conta ou continue como anônimo"
"Create account","Criar conta"
"You already have an account with us. Sign in or continue as guest","Você já tem uma conta conosco. Faça login ou continue como anônimo"
"You already have an account with us. Please sign in","Você já tem uma conta conosco. Por favor faça login"
"We will keep your items and you can use another email to complete your purchase","Manteremos seus itens e você pode usar outro e-mail para concluir sua compra"
"When exiting your account your cart will be deleted.","Ao sair de sua conta, seu carrinho será excluído."
"Continue as guest","Continue como Anônimo"
"Checkout as a guest using email","Checkout como um anônimo usando e-mail"
"You are logged in with the email","Você está logado com o e-mail"
O2TI,O2TI
"Checkout Identification Step","Etapa de Identificação no Checkout"
"Create additional step in unique for customer identification","Cria uma etapa adicional ao checkout para identificação do cliente"
Enabled,Habilitado
"Step Behavior","Comportamento na etapa"
"Defined the behavior of the step","Define o comportamento da etapa"
"Behavior for Guest","Comportamento para clientes anônimos/convidados"
"Defines the behavior for anonymous purchases","Define o comportamento para compras efetuadas como anônimo ou convidado"
"Allow Contiune As Guest","Habilitar Continue como anônimo"
"Behavior for Customers","Comportamento para clientes"
"Defines the behavior for user purchases that already exists in the customer base","Define o comportamento de compras do usuário que já existe na base de clientes"
"After login allow Logout","Permitir deslogar"
"Associate orders placed as guests in the customer account","Associar pedidos feitos como anônimos/convidados na conta do cliente"
"Attention: If ""Persistent Shopping Cart"" is set to no and/or ""Clear Persistence on Sign Out"" is set to yes, the customer will receive an empty cart message.","Atenção: Se ""Carrinho de Compras Persistente"" estiver definido como não e/ou ""Limpar Persistência ao Terminar Sessão"" estiver definido como sim, o cliente receberá uma mensagem de carrinho vazio."
"Behavior for New Customers","Comportamento para Novos Clientes"
"Defines the behavior of user purchases not present in the customer base","Define o comportamento de compras do usuário não presente na base de clientes"
"Create account in step","Criar conta na etapa"
"Capture address in registration","Capturar o endereço na criação de conta"
"Enable for Checkout/Create Account","Habilitar para checkout/criar conta"
