"Success Page for Order #%1","Success Page for Order #%1"
Loading...,Loading...
Reorder,Reorder
"Details of your order","Details of your order"
Status,Status
"Show Password","Show Password"
"Email Address","Email Address"
Next,Next
Password,Password
"Remember Me","Remember Me"
"What is this?","What is this?"
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in."
Identification:,Identification:
edit,edit
"Order Data","Order Data"
"My billing and shipping address are the same","My billing and shipping address are the same"
"Password Strength: ","Password Strength: "
"No Payment Methods","No Payment Methods"
"Payment Information","Payment Information"
"No Payment method available.","No Payment method available."
"Billing Address","Billing Address"
"Apply Discount Code","Apply Discount Code"
"The use of a discount coupon is optional, you only need to inform if you have one.","The use of a discount coupon is optional, you only need to inform if you have one."
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel coupon","Cancel coupon"
Cancel,Cancel
"Ship To:","Ship To:"
"Shipping Method:","Shipping Method:"
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"View and Edit Cart","View and Edit Cart"
of,of
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
"View Details","View Details"
"Options Details","Options Details"
Qty,Qty
"Free Shipping","Free Shipping"
O2TI,O2TI
"Theme Full Checkout","Theme Full Checkout"
Enabled,Enabled
"Move Billing Address","Move Billing Address"
"We will keep your items and you can use another email to complete your purchase.","We will keep your items and you can use another email to complete your purchase."
"When exiting your account your cart will be deleted.","When exiting your account your cart will be deleted."
